63	59
59	40
487	538
133	189
275	11
748	445
787	353
499	43
128	11
892	518
10	38
583	733
126	168
302	798
784	1044
27	12
451	392
385	215
157	2
829	824
254	4
913	224
107	49
413	310
125	518
653	114
991	55
108	77
55	119
929	518
762	125
168	349
1134	220
352	1121
105	12
1191	777
186	3
302	990
387	202
832	858
168	339
90	103
982	790
168	155
454	170
270	97
1101	462
778	768
1034	198
23	210
654	436
459	288
1072	436
17	31
736	749
339	12
896	897
632	353
719	14
106	112
1103	551
37	148
171	4
605	538
134	12
66	211
159	81
766	772
654	758
82	246
486	778
1166	844
578	596
964	741
246	659
19	5
778	84
861	6
655	539
1020	584
98	11
172	40
135	286
244	42
96	152
702	35
90	353
1137	86
23	296
742	534
741	755
653	539
266	119
188	6
370	126
60	94
370	736
681	930
69	6
90	158
660	168
1138	712
861	551
738	819
537	168
216	49
144	76
15	462
127	802
1093	189
607	13
457	86
32	81
1218	49
643	118
666	40
440	75
1116	348
47	24
513	517
828	638
689	372
302	660
50	118
539	15
987	400
605	451
1207	1208
153	46
1031	795
1050	183
1045	630
109	50
1003	15
890	539
487	667
508	11
137	27
27	205
128	148
740	100
802	429
97	100
15	777
1044	1024
83	51
302	823
491	12
786	425
770	15
60	32
425	310
432	12
233	380
248	104
13	99
454	103
801	736
1146	177
302	1026
1110	593
402	60
740	125
811	667
861	126
260	104
229	121
736	744
160	660
486	160
1050	838
169	170
740	117
50	2
848	349
618	91
240	94
918	220
510	11
660	763
57	190
605	160
831	55
149	76
668	141
105	284
578	3
17	32
638	771
857	714
114	121
19	3
786	535
1125	77
66	75
149	151
892	464
3	95
265	154
267	14
740	186
64	579
105	22
669	791
302	838
927	712
135	243
445	928
182	692
102	48
420	4
689	302
154	165
105	201
831	1117
767	863
689	148
60	303
675	76
1066	163
1168	117
302	988
23	137
756	593
182	99
370	529
37	99
152	42
627	11
241	72
472	246
810	221
1044	436
485	534
633	131
233	537
1016	55
167	69
775	51
22	98
353	98
280	8
302	860
785	892
535	784
287	400
326	79
134	99
551	681
31	80
107	28
59	102
516	115
111	152
736	425
501	155
569	75
476	143
574	43
1099	348
118	123
1065	5
76	118
145	241
941	859
84	102
898	535
802	303
884	451
101	22
237	361
653	372
342	5
461	246
40	83
1099	114
350	121
31	533
79	44
673	15
740	777
651	867
827	539
248	108
64	438
831	551
804	806
50	58
826	127
432	44
111	44
1140	183
133	265
127	518
1087	462
293	76
766	121
224	768
111	101
239	5
1103	855
382	171
281	310
943	445
27	424
155	15
118	15
86	451
197	198
605	55
353	125
233	11
352	55
579	310
128	89
1210	117
927	302
751	485
37	219
578	231
64	93
95	124
244	3
653	425
1186	177
178	114
778	660
574	11
406	1
354	355
90	258
339	931
841	487
1093	224
137	83
1163	77
260	26
352	353
153	98
688	638
490	284
539	483
964	583
852	1149
736	756
551	993
801	224
1110	352
301	192
1190	224
638	855
926	678
942	303
961	183
892	629
154	109
786	762
127	1194
127	1038
982	630
504	249
814	189
964	302
1191	114
479	68
566	126
1020	302
605	114
229	221
1078	163
134	200
4	26
844	771
171	112
518	777
379	515
105	94
250	55
838	795
551	1067
94	310
688	125
339	302
188	3
487	736
145	12
339	914
956	678
643	353
138	99
237	292
378	379
833	733
978	120
22	53
832	794
335	3
393	11
534	55
416	108
756	183
892	691
593	689
892	125
101	113
60	6
605	778
578	201
37	622
866	55
903	904
135	99
825	487
579	5
109	64
459	14
1034	118
675	541
839	177
32	108
1207	177
250	46
490	5
521	520
47	12
338	425
17	36
953	177
137	5
1017	163
503	504
801	738
459	212
29	76
107	275
993	446
1154	224
244	49
95	109
82	51
403	3
1007	812
99	12
892	515
149	79
1199	183
626	46
107	89
751	539
749	303
339	168
59	141
89	79
1086	189
55	436
638	736
237	3
421	27
71	108
172	111
789	678
41	11
696	108
3	8
859	941
398	94
59	234
229	445
1020	15
5	184
270	339
20	3
134	5
791	126
64	95
84	352
747	351
1112	761
913	122
28	281
241	10
607	3
89	3
539	1136
744	451
1059	183
27	90
1003	741
325	8
798	168
660	775
544	6
1136	114
22	82
495	772
292	235
927	1074
689	805
64	250
58	61
93	262
266	122
675	128
1103	485
643	310
992	1149
913	1172
501	771
20	151
992	1035
1010	118
159	41
120	352
47	49
437	9
193	47
1191	529
783	768
248	2
160	353
515	425
32	195
798	183
20	140
992	183
1141	88
171	43
207	6
785	126
227	25
660	118
60	75
526	11
79	8
224	750
578	128
106	150
746	400
332	70
784	762
325	99
111	40
752	486
207	36
807	834
794	303
318	144
201	3
17	21
953	777
3	12
876	857
110	30
479	19
987	77
798	740
459	165
406	109
26	112
547	515
335	6
653	747
495	177
193	30
762	117
811	630
129	50
605	755
70	136
19	34
864	425
1042	339
194	75
864	536
324	394
1182	794
653	224
896	198
459	13
485	594
150	112
338	177
325	74
1064	125
23	154
1110	118
594	302
352	551
709	505
1064	117
323	219
1147	183
982	984
97	124
41	3
1185	584
1218	117
258	260
740	348
642	11
140	242
1180	183
982	938
128	59
428	163
237	357
89	11
97	168
164	166
509	5
300	238
235	90
23	241
436	485
915	5
666	5
155	370
488	266
515	340
155	51
270	1145
266	75
338	121
248	23
8	5
178	770
574	35
37	222
267	149
98	90
1111	218
105	207
101	19
241	26
99	107
762	631
310	118
117	992
133	36
1216	224
1072	462
122	593
434	11
3	165
751	97
1136	5
182	690
178	534
445	178
763	987
9	485
65	286
123	517
936	772
827	425
215	55
1107	177
224	777
173	90
159	131
884	594
545	403
488	148
55	117
248	414
905	302
86	224
921	774
64	294
413	91
956	755
332	5
1175	224
233	45
1107	55
398	522
68	294
342	6
1134	765
153	348
809	403
118	310
107	151
738	124
64	492
23	44
919	198
1035	11
1017	593
432	46
61	12
831	652
40	12
848	182
879	762
660	1056
786	605
487	168
12	2
29	472
844	118
374	14
741	777
237	167
5	258
68	182
50	242
632	113
368	189
894	178
102	94
206	143
125	178
908	97
11	136
982	118
609	610
884	222
457	183
1048	123
867	55
23	385
689	246
625	166
790	302
536	186
434	3
895	436
235	32
975	189
37	534
504	3
436	739
551	516
766	338
484	6
117	956
537	220
81	22
784	15
678	949
26	94
127	551
160	651
1105	445
324	6
225	226
287	13
584	177
303	681
936	770
635	5
1086	677
233	141
14	46
787	587
812	879
160	906
673	48
746	758
784	538
776	177
830	1084
740	115
141	99
365	366
896	303
640	260
302	967
337	102
117	462
64	27
601	49
893	594
32	130
89	27
1110	5
1061	77
785	551
702	165
982	660
547	163
101	5
101	104
93	8
405	172
738	791
828	857
828	738
352	124
738	833
108	205
933	403
438	14
1074	113
924	667
738	303
1110	762
58	63
581	115
102	5
172	13
1218	26
893	539
267	111
798	445
578	331
111	95
459	37
150	152
105	607
459	48
370	802
407	405
513	246
848	688
841	303
302	198
1150	121
146	8
288	265
490	99
499	88
1218	12
200	153
96	83
82	3
393	171
157	94
892	741
63	26
379	678
346	11
1052	118
118	50
738	655
287	110
564	37
106	111
766	539
209	32
178	370
779	582
1035	1050
367	2
786	16
1115	224
286	53
222	392
99	6
19	184
1218	11
18	146
125	220
883	759
486	119
890	812
689	303
27	144
445	938
13	20
791	368
712	224
59	49
1163	118
764	835
106	96
241	8
1207	886
870	681
762	773
578	101
98	158
238	24
490	13
445	746
283	15
23	278
800	403
1076	183
927	127
66	171
31	534
153	173
763	841
860	177
701	186
578	107
468	183
913	116
924	183
445	583
1185	302
1071	113
284	11
545	94
244	13
82	42
414	201
678	501
712	352
106	12
660	886
178	763
546	120
193	90
823	127
828	445
48	106
930	678
445	791
158	81
978	445
44	94
786	446
